PM10_GRIMM,PM25_GRIMM,PM1_GRIMM,PM10_OPC_N2_1,PM25_OPC_N2_1,PM1_OPC_N2_1,PM10_OPC_N2_2,PM25_OPC_N2_2,PM1_OPC_N2_2,PM25_NOVA,PM10_NOVA,PM25_EVM7,Temperature_dht11_1,RH_dht11_1,Temperature_dht11_2,RH_dht11_2,Temperature_kestrel,RH_kestrel,Wind_Speed_KESTREL
53.75,31.15,22.07,26.77,19.98,15.58,24.17,18.15,14.39,19.28,26.38,NA,33,54.22,33.84,49,33.1,47.46,0
55.16,32.93,22.91,24.88,20.33,15.96,21.12,18.4,14.69,19.31,26.28,NA,33,55.5,34,49,33.1,47.38,0
58.65,32.68,22.85,27.24,20.44,16.14,24.56,19.05,15.09,19.3,27.08,NA,33,56,33.95,49.74,33.16,47.96,0
57.93,33.3,22.77,25.03,20.19,16.02,28.82,18.85,14.96,19.24,25.12,NA,33,55.64,34,50,33.2,48.3,0
53.98,31.96,22.43,24.9,20.61,16.2,22.37,18.63,14.7,19.44,25.83,NA,33,55.89,34,49.89,33.2,48.28,0
56.11,31.68,22.46,24.41,20.35,15.97,24.08,18.88,14.99,19.19,28.24,NA,33,56,34,50,33.2,48.43,0
58.61,33.6,22.91,27.63,20.46,16.15,24.01,18.99,15.02,19,27.49,NA,33,56,34,50.33,33.2,48.57,0
56.59,34.15,23.02,24.71,20.68,16.33,23.14,18.95,14.99,18.88,25.17,NA,33,56.13,34,50.41,33.2,49.01,0
60.84,33.09,23.23,24.24,20.15,15.92,23.7,19.12,15.05,19.22,26.6,NA,33,56.44,34,50.82,33.2,48.87,0
53.77,32.62,22.68,24.19,20.48,16.2,24.46,19.28,15.28,19.35,27.72,NA,33,56.36,34,50.89,33.2,49.08,0
55.78,32.88,22.51,24.36,20.37,16.12,22.51,18.93,15,19.21,27.22,NA,33,56,34,50.13,33.2,48.96,0
48.67,31.77,22.28,28.43,20.5,15.98,21.86,18.59,14.84,19.03,25.5,NA,33,56,33.94,50,33.2,48.61,0
51.56,32.16,22.24,26.11,20.7,16.17,22.73,18.4,14.61,19.31,27.38,NA,33,56,34,50,33.2,48.5,0
53.18,32.28,22.22,25.68,20.11,15.82,22.45,18.86,14.87,19.4,25.78,NA,33,56.24,34,50,33.2,48.53,0
52.93,32.69,22.51,23.07,20.38,15.94,22.63,18.56,14.61,18.97,24.69,NA,33,56.17,34,50,33.2,48.33,0
49.51,32.64,22.21,24.48,21.23,16.78,23.97,18.75,14.65,18.92,26.13,NA,33,56.54,34,50,33.2,48.49,0
51.97,31.05,22.19,25.9,20.37,15.92,24.91,18.95,15.09,18.91,25.75,NA,33,56.24,34,49.94,33.2,48.32,0
47.44,31.48,21.93,24.29,20.87,16.43,21.8,18.97,14.96,18.71,25.41,NA,33,56,34,50,33.2,48.43,0
45.62,31.38,22.1,23.85,20.51,16.06,22.3,18.08,14.31,19.34,25.66,NA,33,56.12,34,50,33.29,48.64,0
52.08,31.84,21.87,24.14,20.7,16.35,22.31,18.91,14.95,19.39,26.74,NA,33,56.41,34,50,33.3,48.71,0
47.56,32.38,22.28,25.23,19.84,15.54,23.15,18.67,14.64,19.22,24.86,NA,33,56.94,34,50,33.3,48.6,0
46.91,32.14,22.08,23.96,20.2,15.95,21.78,18.62,14.72,18.53,26.53,NA,33,57,34,50.67,33.3,48.93,0
52.74,31.71,22.05,24.2,20.15,15.83,23.11,18.36,14.53,18.98,25.71,NA,33,57,34,50.19,33.3,48.9,0
52.88,32.41,22.03,24.04,20.23,15.85,23.93,18.51,14.58,18.37,24.73,NA,33,57,34,50.94,33.3,49.24,0
